Flag,Player,Session,Score,Session Date
Actual,Player 2,Agility,8,4/4/2022
Carried over,Player 2,Agility,9,6/4/2022
Actual,Player 2,Agility,9,5/4/2022
Actual,Player 2,Agility,3,7/4/2022
Actual,Player 2,Agility,6,8/4/2022
Actual,Player 2,Agility,7,11/4/2022
Actual,Player 2,Agility,3,12/4/2022
Actual,Player 2,Agility,10,13/04/2022
Actual,Player 2,Agility,4,14/04/2022
Actual,Player 2,Agility,3,15/04/2022
Actual,Player 2,Agility,3,18/04/2022
Actual,Player 2,Agility,10,19/04/2022
Actual,Player 2,Agility,7,20/04/2022
Actual,Player 2,Agility,10,21/04/2022
Actual,Player 2,Agility,9,22/04/2022
Actual,Player 2,Agility,9,25/04/2022
Actual,Player 2,Agility,5,26/04/2022
Actual,Player 2,Agility,8,27/04/2022
Actual,Player 2,Agility,8,28/04/2022
Carried over,Player 2,Agility,3,3/5/2022
Carried over,Player 2,Agility,3,2/5/2022
Actual,Player 2,Agility,3,29/04/2022
Actual,Player 2,Agility,4,4/5/2022
Actual,Player 2,Agility,8,5/5/2022
Carried over,Player 2,Agility,4,9/5/2022
Actual,Player 2,Agility,4,6/5/2022
Actual,Player 2,Agility,7,10/5/2022
Actual,Player 2,Agility,8,11/5/2022
Actual,Player 2,Agility,4,12/5/2022
Actual,Player 2,Agility,3,13/05/2022
Actual,Player 2,Agility,8,16/05/2022
Carried over,Player 2,Agility,8,18/05/2022
Actual,Player 2,Agility,8,17/05/2022
Carried over,Player 2,Agility,9,20/05/2022
Actual,Player 2,Agility,9,19/05/2022
Carried over,Player 2,Agility,7,24/05/2022
Actual,Player 2,Agility,7,23/05/2022
Actual,Player 2,Agility,10,25/05/2022
Carried over,Player 2,Agility,6,30/05/2022
Carried over,Player 2,Agility,6,27/05/2022
Actual,Player 2,Agility,6,26/05/2022
Carried over,Player 2,Agility,9,1/6/2022
Actual,Player 2,Agility,9,31/05/2022
Actual,Player 2,Agility,4,2/6/2022
Actual,Player 2,Agility,4,3/6/2022
Actual,Player 2,Agility,10,6/6/2022
Carried over,Player 2,Agility,10,9/6/2022
Carried over,Player 2,Agility,10,8/6/2022
Actual,Player 2,Agility,10,7/6/2022
Actual,Player 2,Agility,8,10/6/2022
Actual,Player 2,Agility,3,13/06/2022
Actual,Player 2,Agility,10,14/06/2022
Carried over,Player 2,Agility,10,16/06/2022
Actual,Player 2,Agility,10,15/06/2022
Actual,Player 2,Agility,4,17/06/2022
Carried over,Player 2,Agility,9,21/06/2022
Actual,Player 2,Agility,9,20/06/2022
Actual,Player 2,Agility,4,22/06/2022
Actual,Player 2,Agility,10,23/06/2022
Carried over,Player 2,Agility,5,27/06/2022
Actual,Player 2,Agility,5,24/06/2022
Actual,Player 2,Agility,9,28/06/2022
Actual,Player 2,Agility,9,29/06/2022
Actual,Player 2,Agility,4,30/06/2022
Carried over,Player 2,Agility,10,4/7/2022
Actual,Player 2,Agility,10,1/7/2022
Carried over,Player 2,Agility,8,6/7/2022
Actual,Player 2,Agility,8,5/7/2022
Carried over,Player 2,Agility,7,8/7/2022
Actual,Player 2,Agility,7,7/7/2022
Actual,Player 2,Agility,3,11/7/2022
Actual,Player 2,Agility,3,12/7/2022
Actual,Player 2,Agility,8,13/07/2022
Actual,Player 2,Agility,6,14/07/2022
Carried over,Player 2,Agility,4,27/07/2022
Carried over,Player 2,Agility,4,26/07/2022
Carried over,Player 2,Agility,4,25/07/2022
Carried over,Player 2,Agility,4,22/07/2022
Carried over,Player 2,Agility,4,21/07/2022
Carried over,Player 2,Agility,4,20/07/2022
Carried over,Player 2,Agility,4,19/07/2022
Carried over,Player 2,Agility,4,18/07/2022
Actual,Player 2,Agility,4,15/07/2022
Carried over,Player 7,Strength Building,4,4/1/2022
Actual,Player 7,Strength Building,4,3/1/2022
Actual,Player 7,Strength Building,3,5/1/2022
Carried over,Player 7,Strength Building,4,10/1/2022
Carried over,Player 7,Strength Building,4,7/1/2022
Actual,Player 7,Strength Building,4,6/1/2022
Carried over,Player 7,Strength Building,9,12/1/2022
Actual,Player 7,Strength Building,9,11/1/2022
Actual,Player 7,Strength Building,5,13/01/2022
Actual,Player 7,Strength Building,6,14/01/2022
Actual,Player 7,Strength Building,8,17/01/2022
Carried over,Player 7,Strength Building,10,21/01/2022
Carried over,Player 7,Strength Building,10,20/01/2022
Carried over,Player 7,Strength Building,10,19/01/2022
Actual,Player 7,Strength Building,10,18/01/2022
Actual,Player 7,Strength Building,10,24/01/2022
Actual,Player 7,Strength Building,5,25/01/2022
Actual,Player 7,Strength Building,7,26/01/2022
Actual,Player 7,Strength Building,9,27/01/2022
Actual,Player 7,Strength Building,3,28/01/2022
Carried over,Player 15,Agility,7,4/1/2022
Actual,Player 15,Agility,7,3/1/2022
Actual,Player 15,Agility,5,5/1/2022
Actual,Player 15,Agility,3,6/1/2022
Carried over,Player 15,Agility,3,10/1/2022
Actual,Player 15,Agility,3,7/1/2022
Actual,Player 15,Agility,6,11/1/2022
Actual,Player 15,Agility,9,12/1/2022
Actual,Player 15,Agility,7,13/01/2022
Carried over,Player 15,Agility,10,19/01/2022
Carried over,Player 15,Agility,10,18/01/2022
Carried over,Player 15,Agility,10,17/01/2022
Actual,Player 15,Agility,10,14/01/2022
Carried over,Player 15,Agility,7,26/01/2022
Carried over,Player 15,Agility,7,25/01/2022
Carried over,Player 15,Agility,7,24/01/2022
Carried over,Player 15,Agility,7,21/01/2022
Actual,Player 15,Agility,7,20/01/2022
Actual,Player 15,Agility,3,27/01/2022
Actual,Player 15,Agility,7,28/01/2022
Actual,Player 15,Agility,4,31/01/2022
Carried over,Player 15,Agility,4,3/2/2022
Carried over,Player 15,Agility,4,2/2/2022
Actual,Player 15,Agility,4,1/2/2022
Carried over,Player 15,Agility,10,7/2/2022
Actual,Player 15,Agility,10,4/2/2022
Actual,Player 15,Agility,7,8/2/2022
Actual,Player 15,Agility,10,9/2/2022
Actual,Player 15,Agility,10,10/2/2022
Actual,Player 15,Agility,10,11/2/2022
Actual,Player 15,Agility,6,14/02/2022
Actual,Player 15,Agility,9,15/02/2022
Actual,Player 15,Agility,3,16/02/2022
Actual,Player 15,Agility,9,17/02/2022
Actual,Player 15,Agility,8,18/02/2022
Carried over,Player 15,Agility,9,22/02/2022
Actual,Player 15,Agility,9,21/02/2022
Actual,Player 15,Agility,9,23/02/2022
Actual,Player 15,Agility,6,24/02/2022
Carried over,Player 15,Agility,4,28/02/2022
Actual,Player 15,Agility,4,25/02/2022
Actual,Player 15,Agility,8,1/3/2022
Carried over,Player 15,Agility,8,3/3/2022
Actual,Player 15,Agility,8,2/3/2022
Actual,Player 15,Agility,10,4/3/2022
Carried over,Player 15,Agility,4,8/3/2022
Actual,Player 15,Agility,4,7/3/2022
Actual,Player 15,Agility,4,9/3/2022
Carried over,Player 15,Agility,7,11/3/2022
Actual,Player 15,Agility,7,10/3/2022
Carried over,Player 15,Agility,9,15/03/2022
Actual,Player 15,Agility,9,14/03/2022
Actual,Player 15,Agility,7,16/03/2022
Actual,Player 15,Agility,6,17/03/2022
Actual,Player 15,Agility,10,18/03/2022
Actual,Player 15,Agility,5,21/03/2022
Actual,Player 15,Agility,10,22/03/2022
Carried over,Player 15,Agility,8,24/03/2022
Actual,Player 15,Agility,8,23/03/2022
Actual,Player 15,Agility,9,25/03/2022
Actual,Player 15,Agility,9,28/03/2022
Actual,Player 15,Agility,3,29/03/2022
Actual,Player 15,Agility,7,30/03/2022
Actual,Player 15,Agility,5,31/03/2022
Carried over,Player 15,Agility,8,5/4/2022
Carried over,Player 15,Agility,8,4/4/2022
Actual,Player 15,Agility,8,1/4/2022
Actual,Player 15,Agility,4,6/4/2022
Actual,Player 15,Agility,4,7/4/2022
Actual,Player 15,Agility,4,8/4/2022
Actual,Player 15,Agility,9,11/4/2022
Actual,Player 15,Agility,4,12/4/2022
Actual,Player 15,Agility,6,13/04/2022
Actual,Player 15,Agility,6,14/04/2022
Actual,Player 15,Agility,6,15/04/2022
Actual,Player 15,Agility,10,18/04/2022
Actual,Player 15,Agility,5,19/04/2022
Actual,Player 15,Agility,10,20/04/2022
Actual,Player 15,Agility,9,21/04/2022
Carried over,Player 15,Agility,3,25/04/2022
Actual,Player 15,Agility,3,22/04/2022
Carried over,Player 15,Agility,4,29/04/2022
Carried over,Player 15,Agility,4,28/04/2022
Carried over,Player 15,Agility,4,27/04/2022
Actual,Player 15,Agility,4,26/04/2022
Carried over,Player 15,Agility,7,3/5/2022
Actual,Player 15,Agility,7,2/5/2022
Actual,Player 15,Agility,8,4/5/2022
Actual,Player 15,Agility,7,5/5/2022
Actual,Player 15,Agility,6,6/5/2022
Carried over,Player 15,Agility,7,10/5/2022
Actual,Player 15,Agility,7,9/5/2022
Carried over,Player 15,Agility,6,12/5/2022
Actual,Player 15,Agility,6,11/5/2022
Carried over,Player 15,Agility,7,16/05/2022
Actual,Player 15,Agility,7,13/05/2022
Actual,Player 15,Agility,5,17/05/2022
Actual,Player 15,Agility,3,18/05/2022
Carried over,Player 15,Agility,9,20/05/2022
Actual,Player 15,Agility,9,19/05/2022
Actual,Player 15,Agility,10,23/05/2022
Actual,Player 15,Agility,6,24/05/2022
Actual,Player 15,Agility,6,25/05/2022
Actual,Player 15,Agility,9,26/05/2022
Actual,Player 15,Agility,10,27/05/2022
Actual,Player 15,Agility,4,30/05/2022
Actual,Player 15,Agility,7,31/05/2022
Actual,Player 15,Agility,5,1/6/2022
Actual,Player 15,Agility,3,2/6/2022
Carried over,Player 15,Agility,6,6/6/2022
Actual,Player 15,Agility,6,3/6/2022
Actual,Player 15,Agility,3,7/6/2022
Actual,Player 15,Agility,10,8/6/2022
Actual,Player 15,Agility,8,9/6/2022
Actual,Player 15,Agility,7,10/6/2022
Actual,Player 15,Agility,6,13/06/2022
Actual,Player 15,Agility,6,14/06/2022
Actual,Player 15,Agility,3,15/06/2022
Actual,Player 15,Agility,3,16/06/2022
Actual,Player 15,Agility,8,17/06/2022
Actual,Player 15,Agility,5,20/06/2022
Actual,Player 15,Agility,3,21/06/2022
Actual,Player 15,Agility,7,22/06/2022
Actual,Player 15,Agility,7,23/06/2022
Actual,Player 15,Agility,5,24/06/2022
Carried over,Player 15,Agility,5,28/06/2022
Actual,Player 15,Agility,5,27/06/2022
Actual,Player 15,Agility,8,29/06/2022
Actual,Player 15,Agility,7,30/06/2022
Actual,Player 15,Agility,4,1/7/2022
Carried over,Player 15,Agility,10,5/7/2022
Actual,Player 15,Agility,10,4/7/2022
Carried over,Player 15,Agility,6,8/7/2022
Carried over,Player 15,Agility,6,7/7/2022
Actual,Player 15,Agility,6,6/7/2022
Carried over,Player 15,Agility,9,13/07/2022
Carried over,Player 15,Agility,9,12/7/2022
Actual,Player 15,Agility,9,11/7/2022
Actual,Player 15,Agility,6,14/07/2022
Carried over,Player 15,Agility,4,18/07/2022
Actual,Player 15,Agility,4,15/07/2022
Actual,Player 15,Agility,9,19/07/2022
Actual,Player 15,Agility,7,20/07/2022
Actual,Player 15,Agility,8,21/07/2022
Actual,Player 15,Agility,5,22/07/2022
Actual,Player 15,Agility,10,25/07/2022
Carried over,Player 15,Agility,4,27/07/2022
Actual,Player 15,Agility,4,26/07/2022
Actual,Player 13,Strength Building,9,3/1/2022
Actual,Player 13,Strength Building,9,4/1/2022
Actual,Player 13,Strength Building,7,5/1/2022
Actual,Player 13,Strength Building,3,6/1/2022
Carried over,Player 13,Strength Building,3,10/1/2022
Actual,Player 13,Strength Building,3,7/1/2022
Actual,Player 13,Strength Building,3,11/1/2022
Actual,Player 13,Strength Building,3,12/1/2022
Actual,Player 13,Strength Building,3,13/01/2022
Actual,Player 13,Strength Building,3,14/01/2022
Actual,Player 13,Strength Building,6,17/01/2022
Actual,Player 13,Strength Building,9,18/01/2022
Carried over,Player 13,Strength Building,3,21/01/2022
Carried over,Player 13,Strength Building,3,20/01/2022
Actual,Player 13,Strength Building,3,19/01/2022
Carried over,Player 13,Strength Building,10,26/01/2022
Carried over,Player 13,Strength Building,10,25/01/2022
Actual,Player 13,Strength Building,10,24/01/2022
Carried over,Player 13,Strength Building,10,28/01/2022
Actual,Player 13,Strength Building,10,27/01/2022
Actual,Player 13,Strength Building,4,31/01/2022
Actual,Player 13,Strength Building,4,1/2/2022
Actual,Player 13,Strength Building,9,2/2/2022
Actual,Player 13,Strength Building,8,3/2/2022
Carried over,Player 13,Strength Building,3,7/2/2022
Actual,Player 13,Strength Building,3,4/2/2022
Carried over,Player 13,Strength Building,3,9/2/2022
Actual,Player 13,Strength Building,3,8/2/2022
Actual,Player 13,Strength Building,5,10/2/2022
Carried over,Player 13,Strength Building,7,14/02/2022
Actual,Player 13,Strength Building,7,11/2/2022
Actual,Player 13,Strength Building,10,15/02/2022
Actual,Player 13,Strength Building,6,16/02/2022
Actual,Player 13,Strength Building,5,17/02/2022
Actual,Player 13,Strength Building,4,18/02/2022
Actual,Player 13,Strength Building,3,21/02/2022
Carried over,Player 13,Strength Building,5,24/02/2022
Carried over,Player 13,Strength Building,5,23/02/2022
Actual,Player 13,Strength Building,5,22/02/2022
Carried over,Player 13,Strength Building,3,28/02/2022
Actual,Player 13,Strength Building,3,25/02/2022
Carried over,Player 13,Strength Building,9,2/3/2022
Actual,Player 13,Strength Building,9,1/3/2022
Actual,Player 13,Strength Building,3,3/3/2022
Actual,Player 13,Strength Building,5,4/3/2022
Actual,Player 13,Strength Building,3,7/3/2022
Actual,Player 13,Strength Building,6,8/3/2022
Actual,Player 13,Strength Building,4,9/3/2022
Actual,Player 13,Strength Building,6,10/3/2022
Actual,Player 13,Strength Building,8,11/3/2022
Carried over,Player 13,Strength Building,7,17/03/2022
Carried over,Player 13,Strength Building,7,16/03/2022
Carried over,Player 13,Strength Building,7,15/03/2022
Actual,Player 13,Strength Building,7,14/03/2022
Actual,Player 13,Strength Building,5,18/03/2022
Actual,Player 13,Strength Building,4,21/03/2022
Actual,Player 13,Strength Building,7,22/03/2022
Carried over,Player 13,Strength Building,3,24/03/2022
Actual,Player 13,Strength Building,3,23/03/2022
Carried over,Player 13,Strength Building,10,28/03/2022
Actual,Player 13,Strength Building,10,25/03/2022
Actual,Player 13,Strength Building,10,29/03/2022
Actual,Player 13,Strength Building,4,30/03/2022
Actual,Player 13,Strength Building,8,31/03/2022
Actual,Player 13,Strength Building,9,1/4/2022
Carried over,Player 13,Strength Building,7,5/4/2022
Actual,Player 13,Strength Building,7,4/4/2022
Carried over,Player 13,Strength Building,4,7/4/2022
Actual,Player 13,Strength Building,4,6/4/2022
Actual,Player 13,Strength Building,3,8/4/2022
Actual,Player 13,Strength Building,4,11/4/2022
Actual,Player 13,Strength Building,6,12/4/2022
Actual,Player 13,Strength Building,10,13/04/2022
Actual,Player 13,Strength Building,6,14/04/2022
Carried over,Player 13,Strength Building,9,22/04/2022
Carried over,Player 13,Strength Building,9,21/04/2022
Carried over,Player 13,Strength Building,9,20/04/2022
Carried over,Player 13,Strength Building,9,19/04/2022
Carried over,Player 13,Strength Building,9,18/04/2022
Actual,Player 13,Strength Building,9,15/04/2022
Actual,Player 13,Strength Building,9,25/04/2022
Actual,Player 13,Strength Building,10,26/04/2022
Actual,Player 13,Strength Building,7,27/04/2022
Actual,Player 13,Strength Building,9,28/04/2022
Actual,Player 13,Strength Building,7,29/04/2022
Actual,Player 13,Strength Building,9,2/5/2022
Carried over,Player 13,Strength Building,8,5/5/2022
Carried over,Player 13,Strength Building,8,4/5/2022
Actual,Player 13,Strength Building,8,3/5/2022
Actual,Player 13,Strength Building,8,6/5/2022
Actual,Player 13,Strength Building,8,9/5/2022
Actual,Player 13,Strength Building,4,10/5/2022
Carried over,Player 13,Strength Building,7,19/05/2022
Carried over,Player 13,Strength Building,7,18/05/2022
Carried over,Player 13,Strength Building,7,17/05/2022
Carried over,Player 13,Strength Building,7,16/05/2022
Carried over,Player 13,Strength Building,7,13/05/2022
Carried over,Player 13,Strength Building,7,12/5/2022
Actual,Player 13,Strength Building,7,11/5/2022
Actual,Player 13,Strength Building,4,20/05/2022
Carried over,Player 13,Strength Building,6,25/05/2022
Carried over,Player 13,Strength Building,6,24/05/2022
Actual,Player 13,Strength Building,6,23/05/2022
Actual,Player 13,Strength Building,6,26/05/2022
Carried over,Player 13,Strength Building,4,31/05/2022
Carried over,Player 13,Strength Building,4,30/05/2022
Actual,Player 13,Strength Building,4,27/05/2022
Carried over,Player 13,Strength Building,10,6/6/2022
Carried over,Player 13,Strength Building,10,3/6/2022
Carried over,Player 13,Strength Building,10,2/6/2022
Actual,Player 13,Strength Building,10,1/6/2022
Actual,Player 13,Strength Building,5,7/6/2022
Actual,Player 13,Strength Building,4,8/6/2022
Carried over,Player 13,Strength Building,3,14/06/2022
Carried over,Player 13,Strength Building,3,13/06/2022
Carried over,Player 13,Strength Building,3,10/6/2022
Actual,Player 13,Strength Building,3,9/6/2022
Actual,Player 13,Strength Building,7,15/06/2022
Actual,Player 13,Strength Building,4,16/06/2022
Actual,Player 13,Strength Building,4,17/06/2022
Carried over,Player 13,Strength Building,3,21/06/2022
Actual,Player 13,Strength Building,3,20/06/2022
Actual,Player 13,Strength Building,10,22/06/2022
Actual,Player 13,Strength Building,6,23/06/2022
Actual,Player 13,Strength Building,4,24/06/2022
Carried over,Player 13,Strength Building,5,28/06/2022
Actual,Player 13,Strength Building,5,27/06/2022
Carried over,Player 13,Strength Building,3,30/06/2022
Actual,Player 13,Strength Building,3,29/06/2022
Actual,Player 13,Strength Building,8,1/7/2022
Carried over,Player 13,Strength Building,8,5/7/2022
Actual,Player 13,Strength Building,8,4/7/2022
Actual,Player 13,Strength Building,5,6/7/2022
Carried over,Player 13,Strength Building,7,8/7/2022
Actual,Player 13,Strength Building,7,7/7/2022
Actual,Player 13,Strength Building,8,11/7/2022
Carried over,Player 13,Strength Building,6,13/07/2022
Actual,Player 13,Strength Building,6,12/7/2022
Actual,Player 13,Strength Building,9,14/07/2022
Carried over,Player 13,Strength Building,3,19/07/2022
Carried over,Player 13,Strength Building,3,18/07/2022
Actual,Player 13,Strength Building,3,15/07/2022
Actual,Player 13,Strength Building,7,20/07/2022
Carried over,Player 13,Strength Building,8,25/07/2022
Carried over,Player 13,Strength Building,8,22/07/2022
Carried over,Player 12,Cardio,8,5/1/2022
Carried over,Player 12,Cardio,8,4/1/2022
Actual,Player 12,Cardio,8,3/1/2022
Actual,Player 12,Cardio,10,6/1/2022
Carried over,Player 12,Cardio,3,13/01/2022
Carried over,Player 12,Cardio,3,12/1/2022
Carried over,Player 12,Cardio,3,11/1/2022
Carried over,Player 12,Cardio,3,10/1/2022
Actual,Player 12,Cardio,3,7/1/2022
Carried over,Player 12,Cardio,5,17/01/2022
Actual,Player 12,Cardio,5,14/01/2022
Carried over,Player 12,Cardio,9,21/01/2022
Carried over,Player 12,Cardio,9,20/01/2022
Carried over,Player 12,Cardio,9,19/01/2022
Actual,Player 12,Cardio,9,18/01/2022
Carried over,Player 12,Cardio,7,27/01/2022
Carried over,Player 12,Cardio,7,26/01/2022
Carried over,Player 12,Cardio,7,25/01/2022
Actual,Player 12,Cardio,7,24/01/2022
Actual,Player 12,Cardio,10,28/01/2022
Actual,Player 12,Cardio,10,31/01/2022
Actual,Player 12,Cardio,7,1/2/2022
Actual,Player 12,Cardio,9,2/2/2022
Carried over,Player 12,Cardio,4,7/2/2022
Carried over,Player 12,Cardio,4,4/2/2022
Actual,Player 12,Cardio,4,3/2/2022
Actual,Player 12,Cardio,3,8/2/2022
Carried over,Player 12,Cardio,6,10/2/2022
Actual,Player 12,Cardio,6,9/2/2022
Actual,Player 12,Cardio,10,11/2/2022
Actual,Player 12,Cardio,4,14/02/2022
Actual,Player 12,Cardio,9,15/02/2022
Actual,Player 12,Cardio,9,16/02/2022
Actual,Player 12,Cardio,6,17/02/2022
Actual,Player 12,Cardio,8,18/02/2022
Actual,Player 12,Cardio,10,21/02/2022
Actual,Player 12,Cardio,6,22/02/2022
Actual,Player 12,Cardio,10,23/02/2022
Actual,Player 12,Cardio,4,24/02/2022
Carried over,Player 12,Cardio,4,28/02/2022
Actual,Player 12,Cardio,4,25/02/2022
Carried over,Player 12,Cardio,4,3/3/2022
Carried over,Player 12,Cardio,4,2/3/2022
Actual,Player 12,Cardio,4,1/3/2022
Actual,Player 12,Cardio,3,4/3/2022
Actual,Player 12,Cardio,3,7/3/2022
Actual,Player 12,Cardio,7,8/3/2022
Actual,Player 12,Cardio,7,9/3/2022
Actual,Player 12,Cardio,10,10/3/2022
Carried over,Player 12,Cardio,6,15/03/2022
Carried over,Player 12,Cardio,6,14/03/2022
Actual,Player 12,Cardio,6,11/3/2022
Carried over,Player 12,Cardio,8,17/03/2022
Actual,Player 12,Cardio,8,16/03/2022
Carried over,Player 12,Cardio,8,21/03/2022
Actual,Player 12,Cardio,8,18/03/2022
Actual,Player 12,Cardio,4,22/03/2022
Actual,Player 12,Cardio,3,23/03/2022
Actual,Player 12,Cardio,3,24/03/2022
Actual,Player 12,Cardio,9,25/03/2022
Carried over,Player 12,Cardio,10,29/03/2022
Actual,Player 12,Cardio,10,28/03/2022
Carried over,Player 12,Cardio,6,31/03/2022
Actual,Player 12,Cardio,6,30/03/2022
Actual,Player 12,Cardio,4,1/4/2022
Actual,Player 12,Cardio,9,4/4/2022
Actual,Player 12,Cardio,6,5/4/2022
Actual,Player 12,Cardio,8,6/4/2022
Actual,Player 12,Cardio,10,7/4/2022
Carried over,Player 12,Cardio,7,11/4/2022
Actual,Player 12,Cardio,7,8/4/2022
Carried over,Player 12,Cardio,9,13/04/2022
Actual,Player 12,Cardio,9,12/4/2022
Carried over,Player 12,Cardio,10,15/04/2022
Actual,Player 12,Cardio,10,14/04/2022
Actual,Player 12,Cardio,9,18/04/2022
Carried over,Player 12,Cardio,3,21/04/2022
Carried over,Player 12,Cardio,3,20/04/2022
Actual,Player 12,Cardio,3,19/04/2022
Actual,Player 12,Cardio,9,22/04/2022
Carried over,Player 12,Cardio,5,26/04/2022
Actual,Player 12,Cardio,5,25/04/2022
Actual,Player 12,Cardio,10,27/04/2022
Actual,Player 12,Cardio,8,28/04/2022
Actual,Player 12,Cardio,3,29/04/2022
Actual,Player 12,Cardio,4,2/5/2022
Carried over,Player 12,Cardio,9,4/5/2022
Actual,Player 12,Cardio,9,3/5/2022
Actual,Player 12,Cardio,7,5/5/2022
Carried over,Player 12,Cardio,4,10/5/2022
Carried over,Player 12,Cardio,4,9/5/2022
Actual,Player 12,Cardio,4,6/5/2022
Actual,Player 12,Cardio,7,11/5/2022
Actual,Player 12,Cardio,8,12/5/2022
Carried over,Player 12,Cardio,4,17/05/2022
Carried over,Player 12,Cardio,4,16/05/2022
Actual,Player 12,Cardio,4,13/05/2022
Actual,Player 12,Cardio,5,18/05/2022
Carried over,Player 12,Cardio,6,20/05/2022
Actual,Player 12,Cardio,6,19/05/2022
Actual,Player 12,Cardio,4,23/05/2022
Carried over,Player 12,Cardio,7,26/05/2022
Carried over,Player 12,Cardio,7,25/05/2022
Actual,Player 12,Cardio,7,24/05/2022
Actual,Player 12,Cardio,3,27/05/2022
Actual,Player 12,Cardio,8,30/05/2022
Actual,Player 12,Cardio,10,31/05/2022
Actual,Player 12,Cardio,5,1/6/2022
Carried over,Player 12,Cardio,8,6/6/2022
Carried over,Player 12,Cardio,8,3/6/2022
Actual,Player 12,Cardio,8,2/6/2022
Actual,Player 12,Cardio,6,7/6/2022
Actual,Player 12,Cardio,7,8/6/2022
Actual,Player 12,Cardio,3,9/6/2022
Actual,Player 12,Cardio,10,10/6/2022
Actual,Player 12,Cardio,10,13/06/2022
Actual,Player 12,Cardio,5,14/06/2022
Carried over,Player 12,Cardio,10,17/06/2022
Carried over,Player 12,Cardio,10,16/06/2022
Actual,Player 12,Cardio,10,15/06/2022
Actual,Player 12,Cardio,5,20/06/2022
Carried over,Player 12,Cardio,4,29/06/2022
Carried over,Player 12,Cardio,4,28/06/2022
Carried over,Player 12,Cardio,4,27/06/2022
Carried over,Player 12,Cardio,4,24/06/2022
Carried over,Player 12,Cardio,4,23/06/2022
Carried over,Player 12,Cardio,4,22/06/2022
Actual,Player 12,Cardio,4,21/06/2022
Actual,Player 12,Cardio,4,30/06/2022
Carried over,Player 12,Cardio,4,5/7/2022
Carried over,Player 12,Cardio,4,4/7/2022
Actual,Player 12,Cardio,4,1/7/2022
Actual,Player 12,Cardio,3,6/7/2022
Actual,Player 12,Cardio,8,7/7/2022
Actual,Player 12,Cardio,5,8/7/2022
Actual,Player 12,Cardio,3,11/7/2022
Actual,Player 12,Cardio,4,12/7/2022
Actual,Player 12,Cardio,9,13/07/2022
Actual,Player 12,Cardio,6,14/07/2022
Actual,Player 12,Cardio,8,15/07/2022
Actual,Player 12,Cardio,4,18/07/2022
Actual,Player 12,Cardio,5,19/07/2022
Actual,Player 12,Cardio,5,20/07/2022
Actual,Player 12,Cardio,5,21/07/2022
Actual,Player 12,Cardio,10,22/07/2022
Actual,Player 12,Cardio,3,25/07/2022
Actual,Player 12,Cardio,8,26/07/2022
Actual,Player 10,Agility,9,3/1/2022
Carried over,Player 10,Agility,7,5/1/2022
Actual,Player 10,Agility,7,4/1/2022
Actual,Player 10,Agility,4,6/1/2022
Actual,Player 10,Agility,5,7/1/2022
Carried over,Player 10,Agility,6,14/01/2022
Carried over,Player 10,Agility,6,13/01/2022
Carried over,Player 10,Agility,6,12/1/2022
Carried over,Player 10,Agility,6,11/1/2022
Actual,Player 10,Agility,6,10/1/2022
Actual,Player 10,Agility,4,17/01/2022
Actual,Player 10,Agility,10,18/01/2022
Carried over,Player 10,Agility,9,21/01/2022
Carried over,Player 10,Agility,9,20/01/2022
Actual,Player 10,Agility,9,19/01/2022
Carried over,Player 10,Agility,7,25/01/2022
Actual,Player 10,Agility,7,24/01/2022
Carried over,Player 10,Agility,6,27/01/2022
Actual,Player 10,Agility,6,26/01/2022
Carried over,Player 10,Agility,7,31/01/2022
Actual,Player 10,Agility,7,28/01/2022
Actual,Player 10,Agility,9,1/2/2022
Carried over,Player 10,Agility,8,7/2/2022
Carried over,Player 10,Agility,8,4/2/2022
Carried over,Player 10,Agility,8,3/2/2022
Actual,Player 10,Agility,8,2/2/2022
Carried over,Player 10,Agility,9,9/2/2022
Actual,Player 10,Agility,9,8/2/2022
Actual,Player 10,Agility,9,10/2/2022
Carried over,Player 10,Agility,3,14/02/2022
Actual,Player 10,Agility,3,11/2/2022
Carried over,Player 10,Agility,4,16/02/2022
Actual,Player 10,Agility,4,15/02/2022
Carried over,Player 10,Agility,8,21/02/2022
Carried over,Player 10,Agility,8,18/02/2022
Actual,Player 10,Agility,8,17/02/2022
Carried over,Player 10,Agility,3,23/02/2022
Actual,Player 10,Agility,3,22/02/2022
Actual,Player 10,Agility,8,24/02/2022
Carried over,Player 10,Agility,4,28/02/2022
Actual,Player 10,Agility,4,25/02/2022
Carried over,Player 10,Agility,10,2/3/2022
Actual,Player 10,Agility,10,1/3/2022
Actual,Player 10,Agility,7,3/3/2022
Actual,Player 10,Agility,7,4/3/2022
Carried over,Player 10,Agility,5,8/3/2022
Actual,Player 10,Agility,5,7/3/2022
Actual,Player 10,Agility,4,9/3/2022
Actual,Player 10,Agility,6,10/3/2022
Actual,Player 10,Agility,4,11/3/2022
Carried over,Player 10,Agility,8,15/03/2022
Actual,Player 10,Agility,8,14/03/2022
Actual,Player 10,Agility,4,16/03/2022
Actual,Player 10,Agility,7,17/03/2022
Actual,Player 10,Agility,3,18/03/2022
Carried over,Player 10,Agility,6,23/03/2022
Carried over,Player 10,Agility,6,22/03/2022
Actual,Player 10,Agility,6,21/03/2022
Actual,Player 10,Agility,4,24/03/2022
Actual,Player 10,Agility,10,25/03/2022
Actual,Player 10,Agility,4,28/03/2022
