ConcertID,Artist,Concert Date,Concert,Venue,Location
655,Ed Sheeran,5/9/2014,Chris Brown / Fall Out Boy / Tiâsto / Paramore / Ed Sheeran / Austin Mahone / Rixton / MKTO,Sleep Train Amphitheatre,"Chula Vista, CA"
656,Ed Sheeran,5/9/2014,Chris Brown / Fall Out Boy / Tiâsto / Paramore / Ed Sheeran / Austin Mahone / Rixton / MKTO,Sleep Train Amphitheatre,"Chula Vista, CA"
657,Ed Sheeran,5/9/2014,Summer Kickoff Concert,Sleep Train Amphitheatre,"Chula Vista, CA"
1085,Ed Sheeran,1/25/2013,Ed Sheeran,Bogart's Cincinnati,"Cincinnati, OH"
1086,Ed Sheeran,1/25/2013,Plus Tour,Bogart's,"Cincinnati, OH"
1120,Ed Sheeran,12/15/2012,Jeff and Jenn Christmas Show,Madison Theater,"Cincinnati, OH"
1284,Ed Sheeran,4/4/2012,Snow Patrol / Ed Sheeran,Bogart's Cincinnati,"Cincinnati, OH"
2183,Ed Sheeran,9/18/2015,Ed Sheeran / Christina Perri,Riverbend Music Center,"Cincinnati, OH"
2184,Ed Sheeran,9/17/2015,Ed Sheeran / Christina Perri,Riverbend Music Center,"Cincinnati, OH"
2185,Ed Sheeran,9/17/2015,Multiply Tour,Riverbend Music Center,"Cincinnati, OH"
2186,Ed Sheeran,9/17/2015,,Riverbend Music Center,"Cincinnati, OH"
2187,Ed Sheeran,9/17/2015,Ed Sheeran / Christina Perri / Jamie Lawson,Riverbend Music Center,"Cincinnati, OH"
2098,Ed Sheeran,6/10/2017,Divide Tour,Palacio de los Deportes,"Ciudad de MÇxico, MÇxico"
2096,Ed Sheeran,6/10/2017,Ed Sheeran,Palacio de los Deportes,"Ciudad de MÇxico, MX"
507,Ed Sheeran,9/4/2014,Ed Sheeran,"Wolstein Center, CSU","Cleveland, OH"
933,Ed Sheeran,4/25/2013,Taylor Swift / Ed Sheeran,Quicken Loans Arena,"Cleveland, OH"
1768,Ed Sheeran,9/9/2017,Divide Tour,Quicken Loans Arena,"Cleveland, OH"
1769,Ed Sheeran,9/9/2017,Ed Sheeran,Quicken Loans Arena,"Cleveland, OH"
1770,Ed Sheeran,9/9/2017,ˆ Tour,Quicken Loans Arena,"Cleveland, OH"
1771,Ed Sheeran,9/9/2017,Ed Sheeran,Quicken Loans Arena,"Cleveland, OH"
49,Ben Howard,6/1/2018,Ben Howard,E-Werk,"Cologne, Germany"
1696,Ben Howard,6/24/2013,Ben Howard / Bear's Den,Tanzbrunnen,"Cologne, Germany"
1047,Ed Sheeran,3/23/2013,Taylor Swift / Ed Sheeran / Brett Eldredge,Colonial Life Arena,Columbia SC
500,Ed Sheeran,9/6/2014,Ed Sheeran,Merriweather Post Pavilion,"Columbia, MD"
501,Ed Sheeran,9/6/2014,Ed Sheeran,Merriweather Post Pavilion,"Columbia, MD"
502,Ed Sheeran,9/6/2014,Ed Sheeran,Merriweather Post Pavilion,"Columbia, MD"
503,Ed Sheeran,9/6/2014,Ed Sheeran / Rudimental,Merriweather Post Pavilion,"Columbia, MD"
504,Ed Sheeran,9/6/2014,Ed Sheeran / Rudimental,Merriweather Post Pavilion,"Columbia, MD"
505,Ed Sheeran,9/6/2014,x Tour,Merriweather Post Pavilion,"Columbia, MD"
506,Ed Sheeran,9/6/2014,Ed Sheeran,Merriweather Post Pavilion,"Columbia, MD"
1046,Ed Sheeran,3/23/2013,Taylor Swift / Ed Sheeran / Brett Eldredge,Colonial Life Arena,"Columbia, SC"
1048,Ed Sheeran,3/23/2013,Taylor Swift,Colonial Life Arena,"Columbia, SC"
917,Ed Sheeran,5/8/2013,Taylor Swift,Nationwide Arena,"Columbus, OH"
918,Ed Sheeran,5/8/2013,Taylor Swift / Ed Sheeran,Nationwide Arena,"Columbus, OH"
1210,Ed Sheeran,9/10/2012,Ed Sheeran,Lifestyle Communities Pavilion,"Columbus, OH"
1639,Ed Sheeran,10/4/2017,The Divide Tour,Nationwide Arena,"Columbus, OH"
1640,Ed Sheeran,10/3/2017,ˆ Tour,Nationwide Arena,"Columbus, OH"
356,Ed Sheeran,11/11/2014,Multiply Tour,Forum,"Copenhagen, Denmark"
1477,Ed Sheeran,5/4/2018,Ed Sheeran / Anne-Marie / Jamie Lawson,Pairc Ui Chaoimh,"Cork,"
1565,Ben Howard,8/7/2013,Boardmasters Festival 2013,Unknown venue,"Cornwall,"
1121,Ed Sheeran,12/15/2012,Ed Sheeran,Madison Theater,"Covington, KY"
2104,Ed Sheeran,5/23/2017,Divide Tour,Pedreira Paulo Leminski,"Curitiba, PR"
2182,Ed Sheeran,9/18/2015,Ed Sheeran / Christina Perri / Jamie Lawson,Blossom Music Center,"Cuyahoga Falls, OH"
318,Ed Sheeran,5/7/2015,X Tour,Verizon Theatre at Grand Prairie,"Dallas, TX"
1111,Ed Sheeran,1/18/2013,,Palladium Ballroom,"Dallas, TX"
1112,Ed Sheeran,1/18/2013,Ed Sheeran,Palladium Ballroom,"Dallas, TX"
438,Ed Sheeran,3/26/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
440,Ed Sheeran,3/25/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
441,Ed Sheeran,3/25/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
442,Ed Sheeran,3/25/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
444,Ed Sheeran,3/24/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
445,Ed Sheeran,3/24/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
446,Ed Sheeran,3/24/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
447,Ed Sheeran,3/24/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
449,Ed Sheeran,3/24/2015,Ed Sheeran,Qantas Credit Union Arena,"Darling Harbour, NSW"
1057,Ed Sheeran,3/1/2013,Ed Sheeran,Sydney Entertainment Centre,"Darling Harbour, NSW"
1058,Ed Sheeran,3/1/2013,Ed Sheeran,Sydney Entertainment Centre,"Darling Harbour, NSW"
1060,Ed Sheeran,3/1/2013,Ed Sheeran,Sydney Entertainment Centre,"Darling Harbour, NSW"
1061,Ed Sheeran,3/1/2013,Ed Sheeran,Sydney Entertainment Centre,"Darling Harbour, NSW"
1913,Ben Howard,9/10/2009,Fink / Ben Howard,W2,Den Bosch
120,Ed Sheeran,6/29/2015,Ed Sheeran / Rixton,Red Rocks Amphitheatre,"Denver, CO"
920,Ed Sheeran,5/4/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Ford Field,"Detroit, MI"
921,Ed Sheeran,5/4/2013,RED Tour,Ford Field,"Detroit, MI"
922,Ed Sheeran,5/4/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Ford Field,"Detroit, MI"
924,Ed Sheeran,5/4/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Ford Field,"Detroit, MI"
925,Ed Sheeran,5/4/2013,Red Tour,Ford Field,"Detroit, MI"
974,Ed Sheeran,9/8/2018,Divide World Tour,Ford Field,"Detroit, MI"
1087,Ed Sheeran,1/24/2013,Ed Sheeran US Tour,The Fillmore Detroit,"Detroit, MI"
1088,Ed Sheeran,1/24/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,The Fillmore Detroit,"Detroit, MI"
1281,Ed Sheeran,4/20/2012,Ed Sheeran / Snow Patrol,The Fillmore,"Detroit, MI"
1651,Ed Sheeran,9/27/2017,Divide World Tour,Little Caesars Arena,"Detroit, MI"
1743,Ed Sheeran,9/27/2017,Divide Tour,Little Caesars Arena,"Detroit, MI"
1744,Ed Sheeran,9/27/2017,Divide World Tour,Little Caesars Arena,"Detroit, MI"
1745,Ed Sheeran,9/27/2017,ˆ Tour,Little Caesars Arena,"Detroit, MI"
1604,Ed Sheeran,3/10/2018,Ed Sheeran,Etihad Stadium,"Docklands, VIC, Australia"
1153,Ed Sheeran,11/6/2012,Ed Sheeran,Doncaster Dome,"Doncaster, UK"
1327,Ed Sheeran,7/29/2011,Camp Bestival,Lulworth Castle,"Dorset, UK"
456,Ed Sheeran,3/5/2015,Ed Sheeran,Dubai Media City,Dubai
383,Ed Sheeran,10/5/2014,Ed Sheeran,3 Arena,Dublin
1113,Ed Sheeran,1/13/2013,Ed Sheeran,3 Arena,Dublin
103,Ed Sheeran,7/24/2015,Ed Sheeran / Bell X1 / Jamie Lawson / Gavin James,Croke Park Stadium,"Dublin,"
384,Ed Sheeran,10/4/2014,Ed Sheeran,3Arena,"Dublin,"
1475,Ed Sheeran,5/18/2018,Ed Sheeran / Anne-Marie / Jamie Lawson,Phoenix Park,"Dublin,"
1679,Ben Howard,7/14/2013,Mumford & Sons / Edward Sharpe & The Magnetic Zeros / The Vaccines / Ben Howard,Phoenix Park,"Dublin,"
2113,Ed Sheeran,4/13/2017,Ed Sheeran,3Arena,"Dublin,"
1474,Ed Sheeran,5/19/2018,Divide,Phoenix Park,"Dublin, Ireland"
491,Ed Sheeran,9/12/2014,ed sheeran,Infinite Energy Center,"Duluth, GA"
492,Ed Sheeran,9/12/2014,X Tour,Infinite Energy Arena,"Duluth, GA"
493,Ed Sheeran,9/12/2014,Multiply Tour,Gwinnett Arena,"Duluth, GA"
1122,Ed Sheeran,12/13/2012,Jason Mraz / Ed Sheeran / Grace Potter / Alex Clare / Andy Grammer / Phillip Phillips,Infinite Energy Arena,"Duluth, GA"
1787,Ed Sheeran,8/26/2017,Ed Sheeran / James Blunt,Infinite Energy Arena,"Duluth, GA"
1480,Ed Sheeran,3/29/2018,Ed Sheeran,Forsyth Barr Stadium,"Dunedin,"
1479,Ed Sheeran,3/31/2018,Ed Sheeran,Forsyth Barr Stadium,"Dunedin, New Zealand"
1481,Ed Sheeran,3/28/2018,Ed Sheeran / Six60 / Mitch James,Forsyth Barr Stadium,"Dunedin, New Zealand"
174,Ed Sheeran,9/22/2018,Ed Sheeran,MetLife Stadium,"East Rutherford, NJ"
175,Ed Sheeran,9/22/2018,Ed Sheeran / Snow Patrol / Anne-Marie,MetLife Stadium,"East Rutherford, NJ"
176,Ed Sheeran,9/22/2018,Ed Sheeran,MetLife Stadium,"East Rutherford, NJ"
177,Ed Sheeran,9/22/2018,Divide Stadium Tour US,MetLife Stadium,"East Rutherford, NJ"
178,Ed Sheeran,9/22/2018,Ed Sheeran,MetLife Stadium,"East Rutherford, NJ"
179,Ed Sheeran,9/22/2018,Divide World Tour,MetLife Stadium,"East Rutherford, NJ"
180,Ed Sheeran,9/21/2018,Ed Sheeran / Snow Patrol / Anne-Marie,MetLife Stadium,"East Rutherford, NJ"
181,Ed Sheeran,9/21/2018,Ed Sheeran,MetLife Stadium,"East Rutherford, NJ"
182,Ed Sheeran,9/21/2018,Divide Stadium Tour US,MetLife Stadium,"East Rutherford, NJ"
183,Ed Sheeran,9/21/2018,Divide World Tour,MetLife Stadium,"East Rutherford, NJ"
780,Ed Sheeran,7/13/2013,Taylor Swift / Ed Sheeran / Austin Mahone,MetLife Stadium,"East Rutherford, NJ"
781,Ed Sheeran,7/13/2013,The Red Tour,MetLife Stadium,"East Rutherford, NJ"
782,Ed Sheeran,7/13/2013,Taylor Swift / Ed Sheeran / Austin Mahone / Joel Crouse,MetLife Stadium,"East Rutherford, NJ"
783,Ed Sheeran,7/13/2013,Taylor Swift / Ed Sheeran / Austin Mahone,MetLife Stadium,"East Rutherford, NJ"
784,Ed Sheeran,7/13/2013,Red Tour,MetLife Stadium,"East Rutherford, NJ"
945,Ed Sheeran,3/29/2013,Red Tour,Izod Center,"East Rutherford, NJ"
1152,Ed Sheeran,11/12/2012,,Usher Hall,Edinburgh
248,Ed Sheeran,6/14/2015,Ed Sheeran / Rixton,Rexall Place,"Edmonton, AB"
249,Ed Sheeran,6/14/2015,x Tour,Rexall Place,"Edmonton, AB"
793,Ed Sheeran,6/26/2013,The Red Tour,Rexall Place,"Edmonton, AB"
1973,Ed Sheeran,7/26/2017,Divide Tour,Rogers Place,"Edmonton, AB"
1974,Ed Sheeran,7/26/2017,Ed Sheeran,Rogers Place,"Edmonton, AB"
794,Ed Sheeran,6/25/2013,Taylor Swift: RED Tour,Rexall Place,"Edmonton, Alberta"
1263,Ed Sheeran,6/14/2012,Ed Sheeran,Maynards Restaurant,"Excelsior, MN"
1264,Ed Sheeran,6/14/2012,Ed Sheeran,Maynards Restaurant,"Excelsior, MN"
1720,Ben Howard,2/14/2013,Ben Howard / Mumford & Sons,"EagleBank Arena, George Mason University","Fairfax, VA"
1812,Ben Howard,2/14/2013,Mumford & Sons / Ben Howard,"EagleBank Arena, George Mason University","Fairfax, VA"
1813,Ben Howard,2/14/2013,Mumford and Sons,"Patriot Center, George Mason University","Fairfax, VA"
1814,Ben Howard,2/13/2013,HAIM / Ben Howard / Mumford & Sons,Patriot Center,"Fairfax, VA"
164,Ed Sheeran,10/17/2018,Ed Sheeran Divide,Fargodome,"Fargo, ND"
285,Ed Sheeran,5/30/2015,Ed Sheeran,Forest Hills Stadium,"forest hills, ny"
185,Ed Sheeran,9/15/2018,Ed Sheeran / Snow Patrol / Anne Marie,Gillette Stadium,"Foxboro, MA"
189,Ed Sheeran,9/15/2018,Ed Sheeran,Gilette Stadium,"Foxboro, MA"
743,Ed Sheeran,7/27/2013,The Red Tour,Gilette Stadium,"Foxboro, MA"
2168,Ed Sheeran,9/25/2015,Ed Sheeran / Passenger / Christina Perri,Gilette Stadium,"Foxboro, MA"
87,Ed Sheeran,9/9/2015,Ed Sheeran,Gillette Stadium,"Foxborough, MA"
184,Ed Sheeran,9/15/2018,Ed Sheeran / Snow Patrol / Anne-Marie,Gillette Stadium,"Foxborough, MA"
186,Ed Sheeran,9/15/2018,Ed Sheeran / Snow Patrol / Anne-Marie,Gillette Stadium,"Foxborough, MA"
187,Ed Sheeran,9/15/2018,Ed Sheeran / Snow Patrol / Anne-Marie,Gillette Stadium,"Foxborough, MA"
188,Ed Sheeran,9/15/2018,Ed Sheeran / Snow Patrol / Anne-Marie,Gillette Stadium,"Foxborough, MA"
190,Ed Sheeran,9/14/2018,Ed Sheeran / Snow Patrol / Anne-Marie,Gillette Stadium,"Foxborough, MA"
191,Ed Sheeran,9/14/2018,Ed Sheeran / Snow Patrol / Anne-Marie,Gillette Stadium,"Foxborough, MA"
739,Ed Sheeran,7/27/2013,The Red Tour,Gillette Stadium,"Foxborough, MA"
741,Ed Sheeran,7/27/2013,The Red Tour,Gillette Stadium,"Foxborough, MA"
742,Ed Sheeran,7/27/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Gillette Stadium,"Foxborough, MA"
763,Ed Sheeran,7/27/2013,The Red Tour,Gillette Stadium,"Foxborough, MA"
764,Ed Sheeran,7/27/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Gillette Stadium,"Foxborough, MA"
765,Ed Sheeran,7/26/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Gillette Stadium,"Foxborough, MA"
766,Ed Sheeran,7/26/2013,The Red Tour,Gillette Stadium,"Foxborough, MA"
767,Ed Sheeran,7/26/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Gillette Stadium,"Foxborough, MA"
768,Ed Sheeran,7/26/2013,The Red Tour,Gillette Stadium,"Foxborough, MA"
769,Ed Sheeran,7/26/2013,Taylor Swift / Ed Sheeran / Austin Mahone,Gillette Stadium,"Foxborough, MA"
770,Ed Sheeran,7/26/2013,Red Tour,Gillette Stadium,"Foxborough, MA"
771,Ed Sheeran,7/25/2013,Ed Sheeran / Taylor Swift,Gillette Stadium,"Foxborough, MA"
973,Ed Sheeran,9/14/2018,Ed Sheeran / Snow Patrol / Anne-Marie,Gillette Stadium,"Foxborough, MA"
2145,Ed Sheeran,9/29/2015,X Tour,Gillette Stadium,"Foxborough, MA"
2159,Ed Sheeran,9/26/2015,Ed Sheeran / Passenger / Chris Martin,Gillette Stadium,"Foxborough, MA"
2163,Ed Sheeran,9/25/2015,Ed Sheeran,Gillette Stadium,"Foxborough, MA"
2164,Ed Sheeran,9/25/2015,X Tour,Gillette Stadium,"Foxborough, MA"
2165,Ed Sheeran,9/25/2015,Ed Sheeran,Gillette Stadium,"Foxborough, MA"
2166,Ed Sheeran,9/25/2015,X Tour,Gillette Stadium,"Foxborough, MA"
2167,Ed Sheeran,9/25/2015,X Tour,Gillette Stadium,"Foxborough, MA"
2169,Ed Sheeran,9/25/2015,Red tour,Gillette Stadium,"Foxborough, MA"
2170,Ed Sheeran,9/25/2015,x Tour,Gillette Stadium,"Foxborough, MA"
2171,Ed Sheeran,9/25/2015,Ed Sheeran,Gillette Stadium,"Foxborough, MA"
2172,Ed Sheeran,9/25/2015,Ed Sheeran / Christina Perri,Gillette Stadium,"Foxborough, MA"
2173,Ed Sheeran,9/25/2015,Ed Sheeran,Gillette Stadium,"Foxborough, MA"
2174,Ed Sheeran,9/25/2015,Ed Sheeran / Christina Perri,Gillette Stadium,"Foxborough, MA"
350,Ed Sheeran,11/18/2014,Jamie Lawson / Saint Raymond / Ed Sheeran,Jahrhunderhalle,"Frankfurt, DE"
97,Ed Sheeran,9/5/2015,Ed Sheeran / Christina Perri,Toyota Stadium,"Frisco, Texas"
98,Ed Sheeran,9/5/2015,Ed Sheeran / Christina Perri / Jamie Lawson,Toyota Stadium,"Frisco, TX"
1006,Ed Sheeran,7/23/2018,Ed Sheeran,Veltins-Arena,"Gelsenkirchen, Germany"
1007,Ed Sheeran,7/23/2018,Ed Sheeran / Anne Marie,Veltins-Arena,"Gelsenkirchen, Germany"
1896,Ben Howard,5/28/2012,Sasquatch! Music Festival 2012,Gorge Amphitheatre,"George, WA"
369,Ed Sheeran,10/30/2014,x Tour,SSE Hydro,Glasgow
1470,Ed Sheeran,6/1/2018,Ed Sheeran / Jamie Lawson,Hampden Park,"Glasgow,"
368,Ed Sheeran,10/31/2014,x tour,SSE Hydro,"Glasgow, UK"
1151,Ed Sheeran,11/15/2012,Ed Sheeran / Passenger,Barrowland Ballroom,"Glasgow, UK"
574,Ed Sheeran,6/27/2014,Glastonbury,Glastonbury,Glastonbury
578,Ed Sheeran,6/25/2014,Glastonbury Festival 2014,Glastonbury,"Glastonbury, UK"
2092,Ed Sheeran,6/21/2017,Glastonbury 2017,Glastonbury,"Glastonbury, UK"
511,Ed Sheeran,8/31/2014,Ed Sheeran,Gila River Arena,"Glendale, AZ"
512,Ed Sheeran,8/31/2014,Ed Sheeran / Rudimental,Gila River Arena,"Glendale, AZ"
904,Ed Sheeran,5/29/2013,The Red Tour,Jobing.com Arena,"Glendale, AZ"
905,Ed Sheeran,5/28/2013,Ed Sheeran / Taylor Swift,University of Phoenix Stadium,"Glendale, AZ"
906,Ed Sheeran,5/28/2013,Red Tour,Gila River Arena,"Glendale, AZ"
1949,Ed Sheeran,8/5/2017,Divide Tour,Gila River Arena,"Glendale, AZ"
779,Ed Sheeran,7/17/2013,Ed Sheeran,Fifth Third Bank Ballpark,"Grand Rapids, MI"
1042,Ed Sheeran,3/26/2013,Ed Sheeran,Furman Amphitheater,"Greenville, SC"
1044,Ed Sheeran,3/26/2013,Ed Sheeran,Furman Amphitheater,"Greenville, SC"
2014,Ed Sheeran,3/26/2017,Ed Sheeran,Barclaycard Arena,"Hamburg, DE"
565,Ed Sheeran,8/14/2014,Pukkelpop 2014,Pukkelpop Festival,"Hasselt,"
560,Ed Sheeran,8/15/2014,Pukkelpop,Kempische Steenweg,"Hasselt, Belgium"
562,Ed Sheeran,8/14/2014,Pukkelpop 2014,Pukkelpop,"Hasselt, Belgium"
1702,Ben Howard,6/14/2013,Pinkpop Festival 2013,Unknown venue,"Heerlen,"
2010,Ed Sheeran,4/1/2017,Divide Tour,Jyske Bank Boxen,"Herning, DK"
423,Ed Sheeran,4/1/2015,Ed Sheeran,Adelaide Entertainment Centre,"Hindmarsh, SA"
221,Ed Sheeran,6/25/2015,Ed Sheeran / Rixton,Hollywood Bowl,"Hollywood, CA"
227,Ed Sheeran,6/24/2015,Ed Sheeran,Hollywood Bowl,"Hollywood, CA"
228,Ed Sheeran,6/24/2015,x Tour,Hollywood Bowl,"Hollywood, CA"
587,Ed Sheeran,6/16/2014,Big Night Out,Hollywood Bowl,"Hollywood, CA"
653,Ed Sheeran,5/15/2014,MTV's Sound Clash,The Arclight,"Hollywood, CA"
1274,Ed Sheeran,5/8/2012,Ed Sheeran / Snow Patrol / Rousseau,Hollywood Palladium,"Hollywood, CA"
1490,Ed Sheeran,3/16/2018,Missy Higgins / Ed Sheeran / Ryan McMullan,ANZ Stadium,"Homebush Bay, NSW, Australia"
99,Ed Sheeran,9/3/2015,Multiply Tour,BBVA Compass Stadium,"Houston, TX"
910,Ed Sheeran,5/16/2013,The Red Tour,Toyota Center,"Houston, TX"
911,Ed Sheeran,5/16/2013,Taylor Swift / Ed Sheeran,Toyota Center,"Houston, TX"
1790,Ed Sheeran,8/19/2017,Ed Sheeran / James Blunt,Toyota Center,"Houston, TX"
568,Ed Sheeran,7/5/2014,Ed Sheeran,The Paramount,"Huntington, NY"
113,Ed Sheeran,7/2/2015,,Klipsch Music Center,"Indianapolis, IN"
114,Ed Sheeran,7/2/2015,Ed Sheeran,Klipsch Music Center,"Indianapolis, IN"
115,Ed Sheeran,7/2/2015,Ed Sheeran,Klipsch Music Center,"Indianapolis, IN"
116,Ed Sheeran,7/2/2015,Multiply Tour,Klipsch Music Center,"Indianapolis, IN"
786,Ed Sheeran,7/7/2013,Ed Sheeran / Cher Lloyd / The Cab / Hot Chelle Rae / A Great Big World / Cher Lloyd & More / Cody Simpson,The Farm Bureau Insurance Lawn at White River State Park,"Indianapolis, IN"
787,Ed Sheeran,7/7/2013,WZPL Birthday Bash,The Farm Bureau Insurance Lawn at White River State Park,"Indianapolis, IN"
932,Ed Sheeran,4/26/2013,RED Tour,Banker's Life Fieldhouse,"Indianapolis, IN"
1084,Ed Sheeran,1/26/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,"Egyptian Room, Old National Centre","Indianapolis, IN"
1269,Ed Sheeran,6/9/2012,WZPL Acoustic Lounge,Daddy Real's The Place,"Indianapolis, IN"
1279,Ed Sheeran,4/22/2012,Snow Patrol / Ed Sheeran,Egyptian Room at Old National Centre,"Indianapolis, IN"
1772,Ed Sheeran,9/8/2017,ˆ Tour,Bankers Life Fieldhouse,"Indianapolis, IN"
1773,Ed Sheeran,9/8/2017,Ed Sheeran / James Blunt / Joshua Radin,Bankers Life Fieldhouse,"Indianapolis, IN"
1774,Ed Sheeran,9/8/2017,Ed Sheeran / James Blunt / Joshua Radin,Bankers Life Fieldhouse,"Indianapolis, IN"
1708,Ben Howard,4/20/2013,Coachella Music Festival,Empire Polo Grounds,"Indio, CA"
1709,Ben Howard,4/19/2013,Coachella 2013 (Wk 2),Empire Polo Grounds,"Indio, CA"
1711,Ben Howard,4/14/2013,Coachella 2013,Empire Polo Club,"Indio, CA"
1712,Ben Howard,4/14/2013,Coachella 2013,Empire Polo Club,"Indio, CA"
1713,Ben Howard,4/14/2013,Coachella 2013,Empire Polo Club,"Indio, CA"
1714,Ben Howard,4/14/2013,Coachella 2013,Empire Polo Club,"Indio, CA"
2019,Ed Sheeran,3/5/2017,2017 iHeartRadio Awards,The Forum,"Inglewood, CA"
2020,Ed Sheeran,3/5/2017,iHeart Radio Music Awards,The Forum,"Inglewood, CA"
2114,Ed Sheeran,4/13/2017,iHeart Radio Music Awards,The Forum,"Inglewood, CA"
865,Ben Howard,7/31/2015,Gentlemen Of The Road Stopover 2015,Unknown venue,"Inverness,"
1271,Ed Sheeran,6/8/2012,Rockness 2012,Unknown venue,"Inverness,"
142,Ed Sheeran,8/25/2019,Ed Sheeran,Chantry Park,"Ipswich,"
121,Ed Sheeran,6/27/2015,The Rolling Stones / Ed Sheeran,Arrowhead Stadium,"Kansas City, MO"
122,Ed Sheeran,6/27/2015,The Rolling Stones / Ed Sheeran,Arrowhead Stadium,"Kansas City, MO"
165,Ed Sheeran,10/13/2018,Ed Sheeran,Arrowhead Stadium,"Kansas City, MO"
166,Ed Sheeran,10/13/2018,Ed Sheeran / Snow Patrol,Arrowhead Stadium,"Kansas City, MO"
167,Ed Sheeran,10/13/2018,Ed Sheeran / Snow Patrol / Lauv,Arrowhead Stadium,"Kansas City, MO"
168,Ed Sheeran,10/13/2018,Ed Sheeran / Snow Patrol / Lauv,Arrowhead Stadium,"Kansas City, MO"
211,Ed Sheeran,6/27/2015,Ed Sheeran / The Rolling Stones,Arrowhead Stadium,"Kansas City, MO"
212,Ed Sheeran,6/27/2015,The Rolling Stones / Ed Sheeran,Arrowhead Stadium,"Kansas City, MO"
213,Ed Sheeran,6/27/2015,The Rolling Stones / Ed Sheeran,Arrowhead Stadium,"Kansas City, MO"
509,Ed Sheeran,9/2/2014,The x Tour,Sprint Center,"Kansas City, MO"
510,Ed Sheeran,9/2/2014,Ed Sheeran / Rudimental,Sprint Center,"Kansas City, MO"
2085,Ed Sheeran,6/29/2017,Ed Sheeran / James Blunt,Sprint Center,"Kansas City, MO"
2086,Ed Sheeran,6/29/2017,Divide Tour,Sprint Center,"Kansas City, MO"
559,Ed Sheeran,8/15/2014,Pukkelpop 2014,Festivalterrein Kiewit,"Kiewit, Belgium"
563,Ed Sheeran,8/14/2014,Pukkelpop,Festivalpark Kiewit,"Kiewit, Belgium"
564,Ed Sheeran,8/14/2014,Pukkelpop 2014,Pukkelpop Festival,"Kiewit, Belgium"
1849,Ben Howard,7/6/2012,T In The Park,Balado Airfield,"Kinross, UK"
5,Ben Howard,11/30/2018,Ben Howard / Hater,Palladium,"Kîln, Germany"
1150,Ed Sheeran,11/25/2012,Ed Sheeran,Palladium,"Kîln, Germany"
1212,Ed Sheeran,9/8/2012,Ed Sheeran / Passenger,House of Blues,"Lake Buena Vista, FL"
1213,Ed Sheeran,9/8/2012,Ed Sheeran / Passenger,House of Blues,"Lake Buena Vista, FL"
1699,Ben Howard,6/16/2013,Pinkpop 2013,Pinkpop,Landgraaf
1706,Ben Howard,6/13/2013,Pinkpop,Festivalterrein,Landgraaf
1898,Ben Howard,5/26/2012,Pinkpop 2012,Pinkpop,Landgraaf
633,Ed Sheeran,6/7/2014,Pinkpop Festival 2014,Megaland,"Landgraaf,"
636,Ed Sheeran,6/7/2014,Pinkpop Festival 2014,Megaland,"Landgraaf,"
640,Ed Sheeran,6/7/2014,Pinkpop Festival 2014,Megaland,"Landgraaf,"
641,Ed Sheeran,6/7/2014,Pinkpop Festival 2014,Megaland,"Landgraaf,"
644,Ed Sheeran,6/7/2014,Pinkpop Festival 2014,Megaland,"Landgraaf,"
1897,Ben Howard,5/26/2012,Pinkpop Festival 2012,Megaland,"Landgraaf,"
627,Ed Sheeran,6/8/2014,Pinkpop,Pinkpop,"Landgraaf, Netherlands"
628,Ed Sheeran,6/8/2014,Pinkpop,Pinkpop Festival,"Landgraaf, Netherlands"
629,Ed Sheeran,6/8/2014,Ed Sheeran,Pinkpop Festival,"Landgraaf, Netherlands"
630,Ed Sheeran,6/8/2014,Pinkpop 2014,Megaland,"Landgraaf, Netherlands"
631,Ed Sheeran,6/8/2014,Pinkpop,Megaland,"Landgraaf, Netherlands"
632,Ed Sheeran,6/7/2014,Pinkpop 2014,Pinkpop,"Landgraaf, Netherlands"
634,Ed Sheeran,6/7/2014,Pinkpop 2014,Pinkpop,"Landgraaf, Netherlands"
637,Ed Sheeran,6/7/2014,Pinkpop 2014,Megaland,"Landgraaf, Netherlands"
638,Ed Sheeran,6/7/2014,Pinkpop 2014,Pinkpop Festival,"Landgraaf, Netherlands"
639,Ed Sheeran,6/7/2014,Pinkpop 2014,Megaland,"Landgraaf, Netherlands"
