Episode,Pokemon
EP092,Seel
EP092,Dewgong
EP092,Shellder
EP092,Gyarados
EP093,Pikachu
EP093,Meowth
EP093,Togepi
EP093,Bulbasaur
EP093,Charizard
EP093,Squirtle
EP093,Lapras
EP093,Victreebel
EP093,Nidoqueen
EP093,Machoke
EP093,Scyther
EP093,Geodude
EP093,Electrode
EP094,Pikachu
EP094,Meowth
EP094,Togepi
EP094,Bulbasaur
EP094,Squirtle
EP094,Lapras
EP094,Snorlax
EP094,Goldeen
EP094,Staryu
EP094,Psyduck
EP094,Arbok
EP094,Lickitung
EP094,Victreebel
EP094,Jigglypuff
EP094,Butterfree
EP094,Snorlax
EP095,Pikachu
EP095,Meowth
EP095,Togepi
EP095,Bulbasaur
EP095,Lapras
EP095,Staryu
EP095,Marill
EP095,Arbok
EP095,Victreebel
EP095,Gastly
EP095,Haunter
EP095,Beedrill
EP086,Pikachu
EP086,Meowth
EP086,Togepi
EP086,Lapras
EP086,Arbok
EP086,Lickitung
EP086,Weezing
EP086,Victreebel
EP086,Gastly
EP086,Drowzee
EP086,Wartortle
EP086,Vulpix
EP086,Mankey
EP086,Primeape
EP086,Growlithe
EP086,Poliwag
EP086,Ponyta
EP086,Magnemite
EP086,Grimer
EP086,Kingler
EP086,Voltorb
EP086,Hitmonchan
EP086,Seaking
EP086,Starmie
EP086,Electabuzz
EP086,Magikarp
EP086,Vaporeon
EP086,Jolteon
EP086,Flareon
EP096,Pikachu
EP096,Meowth
EP096,Togepi
EP096,Squirtle
EP096,Lapras
EP096,Nidoking
EP096,Onix
EP097,Pikachu
EP097,Meowth
EP097,Togepi
EP097,Lapras
EP097,Venonat
EP097,Marill
EP097,Scyther
EP097,Arbok
EP097,Lickitung
EP097,Weezing
EP097,Victreebel
EP097,Chansey
EP097,Scyther
EP097,Caterpie
EP097,Metapod
EP097,Weedle
EP097,Beedrill
EP097,Paras
EP097,Venomoth
EP097,Pinsir
EP098,Pikachu
EP098,Meowth
EP098,Togepi
EP098,Bulbasaur
EP098,Charizard
EP098,Squirtle
EP098,Lapras
EP098,Snorlax
EP098,Goldeen
EP098,Staryu
EP098,Psyduck
EP098,Venonat
EP098,Marill
EP098,Scyther
EP098,Arbok
EP098,Lickitung
EP098,Weezing
EP098,Victreebel
EP098,Seadra
EP098,Blastoise
EP098,Nidoqueen
EP098,Scyther
EP098,Geodude
EP098,Electrode
EP098,Jigglypuff
EP098,Farfetch'd
EP099,Pikachu
EP099,Meowth
EP099,Togepi
EP099,Bulbasaur
EP099,Charizard
EP099,Squirtle
EP099,Slowbro
EP099,Dewgong
EP099,Cloyster
EP099,Jynx
EP099,Persian
EP099,Tauros
EP099,Kadabra
EP099,Machamp
EP099,Marowak
EP099,Butterfree
EP100,Pikachu
EP100,Meowth
EP100,Togepi
EP100,Staryu
EP100,Marill
EP100,Arbok
EP100,Victreebel
EP100,Nidoran?
EP100,Nidorina
EP100,Pidgey
EP100,Vulpix
EP100,Caterpie
EP100,Raticate
EP100,Oddish
EP100,Nidoran?
EP100,Nidorino
EP100,Pidgey
EP100,Vulpix
EP100,Caterpie
EP100,Raticate
EP100,Oddish
EP102,Pikachu
EP102,Meowth
EP102,Togepi
EP102,Bulbasaur
EP102,Muk
EP102,Weezing
EP102,Bulbasaur
EP103,Pikachu
EP103,Meowth
EP103,Togepi
EP103,Bulbasaur
EP103,Charizard
EP103,Squirtle
EP103,Lapras
EP103,Staryu
EP103,Electabuzz
EP103,Exeggutor
EP103,Starmie
EP103,Pidgeot
EP103,Ninetales
EP103,Venomoth
EP103,Alakazam
EP103,Golem
EP103,Hitmonchan
EP103,Rhydon
EP103,Seel
EP104,Pikachu
EP104,Meowth
EP104,Togepi
EP104,Bulbasaur
EP104,Lapras
EP104,Snorlax
EP104,Staryu
EP104,Psyduck
EP104,Marill
EP104,Arbok
EP104,Weezing
EP104,Victreebel
EP104,Persian
EP104,Pidgeot
EP104,Rhydon
EP101,Pikachu
EP101,Meowth
EP101,Togepi
EP101,Arbok
EP101,Chansey
EP101,Magnemite
EP101,Magnemite
EP101,Magnemite
EP101,Magneton
EP101,Jolteon
EP101,Tauros
EP105,Pikachu
EP105,Meowth
EP105,Togepi
EP105,Bulbasaur
EP105,Charmander
EP105,Charmeleon
EP105,Charizard
EP105,Squirtle
EP105,Lapras
EP105,Psyduck
EP105,Poliwrath
EP105,Golem
EP105,Tentacruel
EP106,Pikachu
EP106,Meowth
EP106,Togepi
EP106,Squirtle
EP106,Lapras
EP106,Staryu
EP106,Venonat
EP106,Marill
EP106,Scyther
EP106,Arbok
EP106,Weezing
EP106,Wartortle
EP106,Blastoise
EP106,Squirtle
EP107,Pikachu
EP107,Meowth
EP107,Togepi
EP107,Squirtle
EP107,Lapras
EP107,Snorlax
EP107,Chansey
EP107,Gloom
EP108,Pikachu
EP108,Meowth
EP108,Togepi
EP108,Charizard
EP108,Lapras
EP108,Arbok
EP108,Lickitung
EP108,Weezing
EP108,Alakazam
EP108,Marowak
EP108,Pikachu
EP108,Wartortle
EP108,Raichu
EP108,Sandslash
EP108,Poliwhirl
EP108,Machop
EP108,Electabuzz
EP108,Jynx
EP108,Venusaur
EP108,Pinsir
EP109,Pikachu
EP109,Meowth
EP109,Togepi
EP109,Bulbasaur
EP109,Lapras
EP109,Magikarp
EP109,Gyarados
EP110,Pikachu
EP110,Meowth
EP110,Togepi
EP110,Lapras
EP110,Goldeen
EP110,Staryu
EP110,Psyduck
EP110,Poliwag
EP110,Arbok
EP110,Weezing
EP110,Victreebel
EP110,Vileplume
EP112,Pikachu
EP112,Meowth
EP112,Togepi
EP112,Bulbasaur
EP112,Charizard
EP112,Squirtle
EP112,Tauros
EP112,Lapras
EP112,Dragonite
EP112,Gengar
EP112,Venusaur
EP112,Electabuzz
EP111,Pikachu
EP111,Meowth
EP111,Togepi
EP111,Bulbasaur
EP111,Charizard
EP111,Squirtle
EP111,Kingler
EP111,Muk
EP111,Tauros
EP111,Lapras
EP111,Snorlax
EP111,Chansey
EP111,Blastoise
EP111,Nidoqueen
EP111,Scyther
EP111,Machoke
EP111,Geodude
EP111,Electrode
EP111,Starmie
EP111,Dragonite
EP111,Ditto
EP111,Onix
EP111,Gengar
EP111,Blastoise
EP111,Sandslash
EP111,Seadra
EP111,Golem
EP111,Magneton
EP111,Jolteon
EP114,Pikachu
EP114,Meowth
EP114,Togepi
EP114,Diglett
EP114,Dugtrio
EP114,Jigglypuff
EP114,Voltorb
EP114,Electrode
EP115,Pikachu
EP115,Meowth
EP115,Togepi
EP115,Kingler
EP115,Muk
EP115,Tauros
EP115,Snorlax
EP115,Onix
EP115,Geodude
EP115,Zubat
EP115,Vulpix
EP115,Lickitung
EP115,Victreebel
EP115,Nidoqueen
EP115,Mr. Mime
EP115,Jigglypuff
EP115,Butterfree
EP115,Nidorina
EP115,Nidorino
EP115,Vileplume
EP115,Dodrio
EP115,Rhyhorn
EP116,Pikachu
EP116,Meowth
EP116,Togepi
EP116,Tauros
EP116,Venonat
EP116,Marill
EP116,Scyther
EP116,Eevee
EP116,Mr. Mime
EP116,Butterfree
EP116,Diglett
EP116,Seel
EP116,Dewgong
EP116,Rhyhorn
EP116,Rhydon
EP116,Staryu
EP116,Starmie
EP116,Onix
EP116,Parasect
EP116,Nidoking
EP116,Venomoth
EP116,Machamp
EP116,Beedrill
EP116,Arcanine
EP116,Gyarados
EP116,Electabuzz
EP116,Kadabra
EP113,Pikachu
EP113,Meowth
EP113,Togepi
EP113,Squirtle
EP113,Lapras
EP113,Goldeen
EP113,Staryu
EP113,Poliwag
EP113,Marill
EP113,Blastoise
EP113,Tentacruel
EP113,Lapras
EP113,Lapras
